en:Andric-Most_na_Drine:0:shuff:4,cs:Andric-Most_na_Drine:0:shuff:5,extinguished,extinguish,zhasne,zhasnout,pf
en:Andric-Most_na_Drine:0:shuff:48,cs:Andric-Most_na_Drine:0:shuff:53,left,leave,zanechal,zanechat,pf
en:Andric-Most_na_Drine:0:shuff:51,cs:Andric-Most_na_Drine:0:shuff:56,married,marry,oženil,oženit,pf
en:Andric-Most_na_Drine:0:shuff:52,cs:Andric-Most_na_Drine:0:shuff:57,left,leave,zanechalo,zanechat,pf
en:Andric-Most_na_Drine:0:shuff:53,cs:Andric-Most_na_Drine:0:shuff:58,began,begin,Začíná,začínat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,hoped,hope,doufají,doufat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,hoped,hope,doufají,doufat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,feared,fear,obávají,obávat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,hoped,hope,doufají,doufat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,hoped,hope,doufají,doufat,impf
en:Andric-Most_na_Drine:0:shuff:54,cs:Andric-Most_na_Drine:0:shuff:59,feared,fear,obávají,obávat,impf
en:Andric-Most_na_Drine:0:shuff:57,cs:Andric-Most_na_Drine:0:shuff:61,lost,lose,ztratila,ztratit,pf
en:Andric-Most_na_Drine:0:shuff:59,cs:Andric-Most_na_Drine:0:shuff:63,exploit,exploit,využít,využít,pf
en:Andric-Most_na_Drine:0:shuff:60,cs:Andric-Most_na_Drine:0:shuff:64,sleeping,sleep,spí,spát,impf
en:Andric-Most_na_Drine:0:shuff:60,cs:Andric-Most_na_Drine:0:shuff:64,resting,rest,spí,spát,impf
en:Andric-Most_na_Drine:0:shuff:60,cs:Andric-Most_na_Drine:0:shuff:64,resting,rest,odpočívají,odpočívat,impf
en:Andric-Most_na_Drine:0:shuff:61,cs:Andric-Most_na_Drine:0:shuff:65,sleep,sleep,nespí,spát,impf
en:Andric-Most_na_Drine:0:shuff:62,cs:Andric-Most_na_Drine:0:shuff:66,sat,sit,Seděly,sedět,impf
en:Andric-Most_na_Drine:0:shuff:62,cs:Andric-Most_na_Drine:0:shuff:66,wiped,wipe,utíraly,utírat,impf
en:Andric-Most_na_Drine:0:shuff:63,cs:Andric-Most_na_Drine:0:shuff:67,guard,guard,Hlídejte,hlídat,impf
en:Andric-Most_na_Drine:0:shuff:63,cs:Andric-Most_na_Drine:0:shuff:67,guard,guard,hlídejte,hlídat,impf
en:Andric-Most_na_Drine:0:shuff:67,cs:Andric-Most_na_Drine:0:shuff:71,bind,bind,svázali,svázat,pf
en:Andric-Most_na_Drine:0:shuff:69,cs:Andric-Most_na_Drine:0:shuff:73,travelling,travel,Necestovalo,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:69,cs:Andric-Most_na_Drine:0:shuff:73,travelling,travel,nechodilo,chodit,impf
en:Andric-Most_na_Drine:0:shuff:69,cs:Andric-Most_na_Drine:0:shuff:73,drink,drink,nepila,pít,impf
en:Andric-Most_na_Drine:0:shuff:70,cs:Andric-Most_na_Drine:0:shuff:74,travelled,travel,cestovalo,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:70,cs:Andric-Most_na_Drine:0:shuff:74,remained,remain,zůstali,zůstat,pf
en:Andric-Most_na_Drine:0:shuff:71,cs:Andric-Most_na_Drine:0:shuff:75,lasted,last,netrvala,trvat,impf
en:Andric-Most_na_Drine:0:shuff:72,cs:Andric-Most_na_Drine:0:shuff:76,said,say,Prohlásil,prohlásit,pf
en:Andric-Most_na_Drine:0:shuff:72,cs:Andric-Most_na_Drine:0:shuff:76,passed,pass,chodí,chodit,impf
en:Andric-Most_na_Drine:0:shuff:72,cs:Andric-Most_na_Drine:0:shuff:76,going,go,chodí,chodit,impf
en:Andric-Most_na_Drine:0:shuff:72,cs:Andric-Most_na_Drine:0:shuff:76,visited,visit,nenavštíví,navštívit,pf
en:Andric-Most_na_Drine:0:shuff:74,cs:Andric-Most_na_Drine:0:shuff:78,looked,look,dívala,dívat,impf
en:Andric-Most_na_Drine:0:shuff:75,cs:Andric-Most_na_Drine:0:shuff:79,move,move,pohnout,pohnout,pf
en:Andric-Most_na_Drine:0:shuff:78,cs:Andric-Most_na_Drine:0:shuff:83,brought,bring,přivedl,přivést,pf
en:Andric-Most_na_Drine:0:shuff:78,cs:Andric-Most_na_Drine:0:shuff:83,kept,keep,měl,mít,impf
en:Andric-Most_na_Drine:0:shuff:81,cs:Andric-Most_na_Drine:0:shuff:86,seen,see,vidět,vidět,impf
en:Andric-Most_na_Drine:0:shuff:86,cs:Andric-Most_na_Drine:0:shuff:91,talk,talk,mluvil,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:87,cs:Andric-Most_na_Drine:0:shuff:92,convinced,convince,přesvědčen,přesvědčit,pf
en:Andric-Most_na_Drine:0:shuff:87,cs:Andric-Most_na_Drine:0:shuff:92,spoke,speak,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:87,cs:Andric-Most_na_Drine:0:shuff:92,speak,speak,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:87,cs:Andric-Most_na_Drine:0:shuff:92,spoke,speak,mluvil,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:87,cs:Andric-Most_na_Drine:0:shuff:92,speak,speak,mluvil,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:88,cs:Andric-Most_na_Drine:0:shuff:93,remembered,remember,pamatovalo,pamatovat,impf
en:Andric-Most_na_Drine:0:shuff:88,cs:Andric-Most_na_Drine:0:shuff:93,preserved,preserve,nezachovalo,zachovat,pf
en:Andric-Most_na_Drine:0:shuff:89,cs:Andric-Most_na_Drine:0:shuff:94,remember,remember,pamatují,pamatovat,impf
en:Andric-Most_na_Drine:0:shuff:89,cs:Andric-Most_na_Drine:0:shuff:94,tell,tell,povídají,povídat,impf
en:Andric-Most_na_Drine:0:shuff:89,cs:Andric-Most_na_Drine:0:shuff:94,grasp,grasp,pochopit,pochopit,pf
en:Andric-Most_na_Drine:0:shuff:90,cs:Andric-Most_na_Drine:0:shuff:95,passes,pass,míjí,míjet,impf
en:Andric-Most_na_Drine:0:shuff:90,cs:Andric-Most_na_Drine:0:shuff:95,touch,touch,nedotýká,dotýkat,impf
en:Andric-Most_na_Drine:0:shuff:91,cs:Andric-Most_na_Drine:0:shuff:96,spent,spend,strávila,strávit,pf
en:Andric-Most_na_Drine:0:shuff:91,cs:Andric-Most_na_Drine:0:shuff:96,come,come,přišla,přijít,pf
en:Andric-Most_na_Drine:0:shuff:92,cs:Andric-Most_na_Drine:0:shuff:97,reached,reach,došli,dojít,pf
en:Andric-Most_na_Drine:0:shuff:93,cs:Andric-Most_na_Drine:0:shuff:98,heard,hear,slyšet,slyšet,impf
en:Andric-Most_na_Drine:0:shuff:94,cs:Andric-Most_na_Drine:0:shuff:99,bet,bet,vsadil,vsadit,pf
en:Andric-Most_na_Drine:0:shuff:95,cs:Andric-Most_na_Drine:0:shuff:100,came,come,Přicházejí,přicházet,impf
en:Andric-Most_na_Drine:0:shuff:95,cs:Andric-Most_na_Drine:0:shuff:100,commenced,commence,začal,začít,pf
en:Andric-Most_na_Drine:0:shuff:96,cs:Andric-Most_na_Drine:0:shuff:101,came,come,Přijedou,přijet,pf
en:Andric-Most_na_Drine:0:shuff:98,cs:Andric-Most_na_Drine:0:shuff:103,avoid,avoid,nevyhýbal,vyhýbat,impf
en:Andric-Most_na_Drine:0:shuff:98,cs:Andric-Most_na_Drine:0:shuff:103,remembered,remember,nevzpomínal,vzpomínat,impf
en:Andric-Most_na_Drine:0:shuff:98,cs:Andric-Most_na_Drine:0:shuff:103,repeated,repeat,neopakoval,opakovat,impf
en:Andric-Most_na_Drine:0:shuff:100,cs:Andric-Most_na_Drine:0:shuff:105,expected,expect,neočekával,očekávat,impf
en:Andric-Most_na_Drine:0:shuff:100,cs:Andric-Most_na_Drine:0:shuff:105,asked,ask,neočekával,očekávat,impf
en:Andric-Most_na_Drine:0:shuff:100,cs:Andric-Most_na_Drine:0:shuff:105,asked,ask,nepožadoval,požadovat,impf
en:Andric-Most_na_Drine:0:shuff:102,cs:Andric-Most_na_Drine:0:shuff:108,tried,try,pokoušejí,pokoušet,impf
en:Andric-Most_na_Drine:0:shuff:103,cs:Andric-Most_na_Drine:0:shuff:109,seemed,seem,zdá,zdát,impf
en:Andric-Most_na_Drine:0:shuff:103,cs:Andric-Most_na_Drine:0:shuff:109,lost,lose,ztratily,ztratit,pf
en:Andric-Most_na_Drine:0:shuff:104,cs:Andric-Most_na_Drine:0:shuff:110,forgot,forget,zapomíná,zapomínat,impf
en:Andric-Most_na_Drine:0:shuff:104,cs:Andric-Most_na_Drine:0:shuff:110,thought,think,myslí,myslet,impf
en:Andric-Most_na_Drine:0:shuff:105,cs:Andric-Most_na_Drine:0:shuff:111,passed,pass,přešli,přejít,pf
en:Andric-Most_na_Drine:0:shuff:106,cs:Andric-Most_na_Drine:0:shuff:112,rose,rise,zvedli,zvednout,pf
en:Andric-Most_na_Drine:0:shuff:107,cs:Andric-Most_na_Drine:0:shuff:113,led,lead,vedla,vést,impf
en:Andric-Most_na_Drine:0:shuff:109,cs:Andric-Most_na_Drine:0:shuff:115,walked,walk,Šel,jít,impf
en:Andric-Most_na_Drine:0:shuff:110,cs:Andric-Most_na_Drine:0:shuff:116,leave,leave,opouštěl,opouštět,impf
en:Andric-Most_na_Drine:0:shuff:113,cs:Andric-Most_na_Drine:0:shuff:117,said,say,říká,říkat,impf
en:Andric-Most_na_Drine:0:shuff:115,cs:Andric-Most_na_Drine:0:shuff:119,done,do,udělali,udělat,pf
en:Andric-Most_na_Drine:0:shuff:115,cs:Andric-Most_na_Drine:0:shuff:119,remain,remain,zůstali,zůstat,pf
en:Andric-Most_na_Drine:0:shuff:118,cs:Andric-Most_na_Drine:0:shuff:123,reach,reach,dojít,dojít,pf
en:Andric-Most_na_Drine:0:shuff:119,cs:Andric-Most_na_Drine:0:shuff:124,travelled,travel,cestují,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:119,cs:Andric-Most_na_Drine:0:shuff:124,travelling,travel,cestují,cestovat,impf
en:Andric-Most_na_Drine:0:shuff:119,cs:Andric-Most_na_Drine:0:shuff:124,overcame,overcome,překonávají,překonávat,impf
en:Andric-Most_na_Drine:0:shuff:119,cs:Andric-Most_na_Drine:0:shuff:124,make,make,vytvořit,vytvořit,pf
en:Andric-Most_na_Drine:0:shuff:119,cs:Andric-Most_na_Drine:0:shuff:124,dreamed,dream,sní,snít,impf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešeno,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešeno,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešeno,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešit,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešit,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:123,cs:Andric-Most_na_Drine:0:shuff:127,solved,solve,vyřešit,vyřešit,pf
en:Andric-Most_na_Drine:0:shuff:125,cs:Andric-Most_na_Drine:0:shuff:129,looking,look,dívají,dívat,impf
en:Andric-Most_na_Drine:0:shuff:125,cs:Andric-Most_na_Drine:0:shuff:129,see,see,dívají,dívat,impf
en:Andric-Most_na_Drine:0:shuff:125,cs:Andric-Most_na_Drine:0:shuff:129,mingled,mingle,mísí,mísit,impf
en:Andric-Most_na_Drine:0:shuff:126,cs:Andric-Most_na_Drine:0:shuff:130,passed,pass,minuly,minout,pf
en:Andric-Most_na_Drine:0:shuff:127,cs:Andric-Most_na_Drine:0:shuff:131,returned,return,vrátil,vrátit,pf
en:Andric-Most_na_Drine:0:shuff:128,cs:Andric-Most_na_Drine:0:shuff:132,spent,spend,Strávil,strávit,pf
en:Andric-Most_na_Drine:0:shuff:128,cs:Andric-Most_na_Drine:0:shuff:132,cracked,crack,praská,praskat,impf
en:Andric-Most_na_Drine:0:shuff:130,cs:Andric-Most_na_Drine:0:shuff:134,went,go,chodí,chodit,impf
en:Andric-Most_na_Drine:0:shuff:130,cs:Andric-Most_na_Drine:0:shuff:134,talk,talk,promluvili,promluvit,pf
en:Andric-Most_na_Drine:0:shuff:131,cs:Andric-Most_na_Drine:0:shuff:135,determined,determine,rozhodli,rozhodnout,pf
en:Andric-Most_na_Drine:0:shuff:132,cs:Andric-Most_na_Drine:0:shuff:136,drinking,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:132,cs:Andric-Most_na_Drine:0:shuff:136,drunk,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:132,cs:Andric-Most_na_Drine:0:shuff:136,drinking,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:132,cs:Andric-Most_na_Drine:0:shuff:136,drunk,drink,pije,pít,impf
en:Andric-Most_na_Drine:0:shuff:132,cs:Andric-Most_na_Drine:0:shuff:136,driving,drive,dohání,dohánět,impf
en:Andric-Most_na_Drine:0:shuff:136,cs:Andric-Most_na_Drine:0:shuff:140,dragged,drag,vláčel,vláčet,impf
en:Andric-Most_na_Drine:0:shuff:137,cs:Andric-Most_na_Drine:0:shuff:141,wanted,want,chce,chtít,impf
en:Andric-Most_na_Drine:0:shuff:137,cs:Andric-Most_na_Drine:0:shuff:141,wanted,want,hledá,hledat,impf
en:Andric-Most_na_Drine:0:shuff:138,cs:Andric-Most_na_Drine:0:shuff:142,die,die,umírali,umírat,impf
en:Andric-Most_na_Drine:0:shuff:138,cs:Andric-Most_na_Drine:0:shuff:142,encountered,encounter,setkal,setkat,pf
en:Andric-Most_na_Drine:0:shuff:139,cs:Andric-Most_na_Drine:0:shuff:143,threatened,threaten,pohrozil,pohrozit,pf
en:Andric-Most_na_Drine:0:shuff:139,cs:Andric-Most_na_Drine:0:shuff:143,convincing,convince,přesvědčoval,přesvědčovat,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,said,say,řeknou,říci,pf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,did,do,dělají,dělat,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,did,do,dělají,dělat,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,did,do,dělají,dělat,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,count,count,nepočítají,počítat,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,ate,eat,jedí,jíst,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,think,think,nemyslí,myslet,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,think,think,nemyslí,myslet,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,said,say,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,said,say,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,talked,talk,mluví,mluvit,impf
en:Andric-Most_na_Drine:0:shuff:140,cs:Andric-Most_na_Drine:0:shuff:144,expressed,express,vyjadřoval,vyjadřovat,impf
en:Andric-Most_na_Drine:0:shuff:141,cs:Andric-Most_na_Drine:0:shuff:145,dragged,drag,protahovali,protahovat,impf
en:Andric-Most_na_Drine:0:shuff:141,cs:Andric-Most_na_Drine:0:shuff:145,interrupted,interrupt,nepřerušil,přerušit,pf
en:Andric-Most_na_Drine:0:shuff:142,cs:Andric-Most_na_Drine:0:shuff:146,tell,tell,povídám,povídat,impf
en:Andric-Most_na_Drine:0:shuff:143,cs:Andric-Most_na_Drine:0:shuff:147,come,come,nevzejde,vzejít,pf
en:Andric-Most_na_Drine:0:shuff:143,cs:Andric-Most_na_Drine:0:shuff:147,see,see,uvidíte,uvidět,pf
en:Andric-Most_na_Drine:0:shuff:144,cs:Andric-Most_na_Drine:0:shuff:148,repair,repair,opravují,opravovat,impf
en:Andric-Most_na_Drine:0:shuff:145,cs:Andric-Most_na_Drine:0:shuff:149,came,come,Přišel,přijít,pf
en:Andric-Most_na_Drine:0:shuff:145,cs:Andric-Most_na_Drine:0:shuff:149,come,come,Přišel,přijít,pf
en:Andric-Most_na_Drine:0:shuff:147,cs:Andric-Most_na_Drine:0:shuff:151,remain,remain,zůstane,zůstat,pf
en:Andric-Most_na_Drine:0:shuff:148,cs:Andric-Most_na_Drine:0:shuff:152,seemed,seem,zdá,zdát,impf
en:Andric-Most_na_Drine:0:shuff:150,cs:Andric-Most_na_Drine:0:shuff:154,saw,see,spatřil,spatřit,pf
en:Andric-Most_na_Drine:0:shuff:150,cs:Andric-Most_na_Drine:0:shuff:154,began,begin,začal,začít,pf
en:Andric-Most_na_Drine:0:shuff:150,cs:Andric-Most_na_Drine:0:shuff:154,understood,understand,porozumí,porozumět,pf
en:Andric-Most_na_Drine:0:shuff:152,cs:Andric-Most_na_Drine:0:shuff:156,go,go,jít,jít,impf
en:Andric-Most_na_Drine:0:shuff:152,cs:Andric-Most_na_Drine:0:shuff:156,stifled,stifle,dusí,dusit,impf
en:Andric-Most_na_Drine:0:shuff:153,cs:Andric-Most_na_Drine:0:shuff:157,began,begin,Začal,začít,pf
en:Andric-Most_na_Drine:0:shuff:153,cs:Andric-Most_na_Drine:0:shuff:157,breathe,breathe,dýchat,dýchat,impf
en:Andric-Most_na_Drine:0:shuff:154,cs:Andric-Most_na_Drine:0:shuff:158,helped,help,pomáhalo,pomáhat,impf
en:Andric-Most_na_Drine:0:shuff:155,cs:Andric-Most_na_Drine:0:shuff:159,helped,help,Pomáhá,pomáhat,impf
en:Andric-Most_na_Drine:0:shuff:158,cs:Andric-Most_na_Drine:0:shuff:162,walk,walk,kráčí,kráčet,impf
en:Andric-Most_na_Drine:0:shuff:158,cs:Andric-Most_na_Drine:0:shuff:162,drove,drive,pohání,pohánět,impf
en:Andric-Most_na_Drine:0:shuff:159,cs:Andric-Most_na_Drine:0:shuff:163,irritated,irritate,dráždil,dráždit,impf
en:Andric-Most_na_Drine:0:shuff:159,cs:Andric-Most_na_Drine:0:shuff:163,replied,reply,odpovídal,odpovídat,impf
en:Andric-Most_na_Drine:0:shuff:161,cs:Andric-Most_na_Drine:0:shuff:166,replied,reply,odpovídal,odpovídat,impf
en:Andric-Most_na_Drine:0:shuff:162,cs:Andric-Most_na_Drine:0:shuff:167,come,come,Přišel,přijít,pf
en:Andric-Most_na_Drine:0:shuff:162,cs:Andric-Most_na_Drine:0:shuff:167,die,die,umírat,umírat,impf
en:Andric-Most_na_Drine:0:shuff:163,cs:Andric-Most_na_Drine:0:shuff:168,lay,lay,položit,položit,pf
en:Andric-Most_na_Drine:0:shuff:166,cs:Andric-Most_na_Drine:0:shuff:171,says,say,říká,říkat,impf
en:Andric-Most_na_Drine:0:shuff:166,cs:Andric-Most_na_Drine:0:shuff:171,passed,pass,neuplyne,uplynout,pf
en:Andric-Most_na_Drine:0:shuff:167,cs:Andric-Most_na_Drine:0:shuff:172,listened,listen,naslouchají,naslouchat,impf
en:Andric-Most_na_Drine:0:shuff:169,cs:Andric-Most_na_Drine:0:shuff:174,led,lead,vede,vést,impf
en:Andric-Most_na_Drine:0:shuff:169,cs:Andric-Most_na_Drine:0:shuff:174,lay,lie,ležel,ležet,impf
en:Andric-Most_na_Drine:0:shuff:170,cs:Andric-Most_na_Drine:0:shuff:175,see,see,vidět,vidět,impf
en:Andric-Most_na_Drine:0:shuff:174,cs:Andric-Most_na_Drine:0:shuff:179,took,take,bral,brát,impf
en:Andric-Most_na_Drine:0:shuff:175,cs:Andric-Most_na_Drine:0:shuff:180,think,think,pomyslíme,pomyslit,pf
en:Andric-Most_na_Drine:0:shuff:178,cs:Andric-Most_na_Drine:0:shuff:182,fled,flee,utíká,utíkat,impf
